ticker,setup_signals,horizon,support_is,support_oos,mu_is,std_is,p_long_is,mu_oos,hit_rate_oos,mae_oos,brier_oos,logloss_oos,ci68_cov_oos,drift_z,objectives,rank,crowding_distance
QQQ US Equity,[np.str_('SIG_03941')],5,368,27,0.00475189411110268,0.025956619496192327,0.6222826086956522,0.008614322344395782,0.7037037037037037,0.013553751245132141,0.21513419580970386,0.6222862888142612,0.8518518518518519,0.14880320736140915,"(0.7037037037037037, -0.013553751245132141, 368.0)",21,0.07739934270260287
QQQ US Equity,[np.str_('SIG_03941')],5,368,27,0.00475189411110268,0.025956619496192327,0.6222826086956522,0.008614322344395782,0.7037037037037037,0.013553751245132141,0.21513419580970386,0.6222862888142612,0.8518518518518519,0.14880320736140915,"(0.7037037037037037, -0.013553751245132141, 368.0)",33,0.0
QQQ US Equity,[np.str_('SIG_03941')],5,368,27,0.00475189411110268,0.025956619496192327,0.6222826086956522,0.008614322344395782,0.7037037037037037,0.013553751245132141,0.21513419580970386,0.6222862888142612,0.8518518518518519,0.14880320736140915,"(0.7037037037037037, -0.013553751245132141, 368.0)",24,0.042875401371455936
QQQ US Equity,[np.str_('SIG_03941')],1,368,27,0.0011552547271827883,0.012643480726870212,0.532608695652174,0.0021328815381522134,0.5925925925925926,0.005321981774511232,0.2450246796891409,0.6831839088120324,0.7777777777777778,0.07732260064206453,"(0.5925925925925926, -0.005321981774511232, 368.0)",28,0.020674049860256956
QQQ US Equity,[np.str_('SIG_03941')],1,368,27,0.0011552547271827883,0.012643480726870212,0.532608695652174,0.0021328815381522134,0.5925925925925926,0.005321981774511232,0.2450246796891409,0.6831839088120324,0.7777777777777778,0.07732260064206453,"(0.5925925925925926, -0.005321981774511232, 368.0)",26,0.02707728231376805
QQQ US Equity,[np.str_('SIG_02000')],10,370,5,0.012390977879589659,0.04436854310992371,0.6945945945945946,0.026730172487810476,1.0,0.014339194608220815,0.09327246165084002,0.36442692074305033,1.0,0.3231838055330159,"(1.0, -0.014339194608220815, 370.0)",22,0.0600795377938138
MSFT US Equity,[np.str_('SIG_03466')],5,376,18,0.007387393427623337,0.03720533682108841,0.6595744680851063,-0.00046411422921696237,0.5555555555555556,0.017754885124574588,0.2577335144107439,0.7101152782228524,0.7777777777777778,-0.21103175855110054,"(0.5555555555555556, -0.017754885124574588, 376.0)",15,0.14745923075404954
QQQ US Equity,[np.str_('SIG_03466')],1,376,18,0.0007023329641491377,0.018516939406900603,0.5452127659574468,0.0006981625741935009,0.4444444444444444,0.006915327208050676,0.2570678348674614,0.7073271768269022,0.8333333333333334,-0.00022522026259277984,"(0.4444444444444444, -0.006915327208050676, 376.0)",27,0.024646154510875325
QQQ US Equity,[np.str_('SIG_03466')],1,376,18,0.0007023329641491377,0.018516939406900603,0.5452127659574468,0.0006981625741935009,0.4444444444444444,0.006915327208050676,0.2570678348674614,0.7073271768269022,0.8333333333333334,-0.00022522026259277984,"(0.4444444444444444, -0.006915327208050676, 376.0)",14,0.14921470546039878
GOOGL US Equity,[np.str_('SIG_05150')],10,399,110,0.012389885291077556,0.04339947672795158,0.6215538847117794,0.016777491702312446,0.6727272727272727,0.03625400000457168,0.2227840048971826,0.6379086774212641,0.6090909090909091,0.10109814085405867,"(0.6727272727272727, -0.03625400000457168, 399.0)",5,0.8718494450235688
GOOGL US Equity,[np.str_('SIG_05150')],1,399,110,0.001456268606583298,0.019054886576030314,0.5012531328320802,0.0027889751568673936,0.5454545454545454,0.011693637902636392,0.24988764917534198,0.692922478443438,0.6454545454545455,0.06994040845987219,"(0.5454545454545454, -0.011693637902636392, 399.0)",13,0.16197755317760326
