setup_id,specialized_ticker,direction,description,signal_ids,oos_first_trigger,oos_last_trigger,oos_days_since_last_trigger,oos_total_trades,oos_open_trades,oos_sum_pnl_dollars,oos_final_nav,oos_nav_total_return_pct,expectancy,source_run
SETUP_0170,MSFT US Equity,long,MSTR US Equity_EV__EV_revision_tail_flag is_high AND TSLA US Equity_EV__EV_revision_tail_flag is_high,"SIG_03674, SIG_03034",2022-07-04,2025-09-02,2,81,1,145306.887,245306.887,145.3069,3726.526,run_seed44_20250906_183803
SIG_02894,LLY US Equity,long,XLK US Equity_opt.fly_1m_40v25 is_high,SIG_02894,2024-07-23,2025-09-01,7,18,1,143128.5893,243128.5893,143.1286,11616.0318,run_seed78_20250908_235457
SIG_00072|SIG_00179,TSLA US Equity,long,TSLA US Equity_px.range_pos_63 is_high AND TSLA US Equity_sent.tw_pub_z30 is_low,"SIG_00072, SIG_00179",2022-09-13,2025-08-29,10,11,1,134192.4335,234192.4335,134.1924,36754.8289,run_seed78_20250908_235457
SIG_00072|SIG_05093,TSLA US Equity,long,AMD US Equity_gate.liquid_flag is_high AND TSLA US Equity_px.range_pos_63 is_high,"SIG_00072, SIG_05093",2022-08-03,2025-09-08,0,10,1,132486.8352,232486.8352,132.4868,17207.7462,run_seed78_20250908_235457
SETUP_0243,MSTR US Equity,long,AMZN US Equity_corrF60__SPY_RET_1D__OI_SKEW z_breakout_pos AND GOOGL US Equity_options_total_volume_spike_z_30d is_high,"SIG_04194, SIG_00681",2024-03-19,2025-09-04,0,8,1,132002.9916,232002.9916,132.003,206308.9983,run_seed44_20250906_183803
SETUP_0169,TSLA US Equity,long,AMZN US Equity_sent.news_heat_tail_21 is_high AND AMZN US Equity_corrF60__SPY_RET_1D__OI_SKEW z_breakout_pos,"SIG_00414, SIG_04194",2022-09-09,2025-09-03,1,11,1,131703.934,231703.934,131.7039,76757.1737,run_seed44_20250906_183803
SIG_01202|SIG_03258,MSFT US Equity,long,CRM US Equity_opt.rr25_1m_proxy is_high AND AAPL US Equity_liq.turnover_z_63 is_high,"SIG_01202, SIG_03258",2022-03-21,2025-09-04,4,22,1,118654.9496,218654.9496,118.6549,9555.6436,run_seed78_20250908_235457
SIG_00179|SIG_01418,AMD US Equity,long,LLY US Equity_opt.iv_mom_5_z60 z_breakout_pos AND TSLA US Equity_sent.tw_pub_z30 is_low,"SIG_00179, SIG_01418",2023-08-01,2025-09-02,6,8,1,114831.0761,214831.0761,114.8311,7962.7124,run_seed78_20250908_235457
SIG_04223,AMZN US Equity,long,EUR Curncy_x.bh_ret_spy_21 is_high,SIG_04223,2022-01-13,2025-08-29,10,23,1,113504.6177,213504.6177,113.5046,5758.6178,run_seed78_20250908_235457
SIG_00790|SIG_04279,MSTR US Equity,long,GOOGL US Equity_vol.updown_ratio_21 z_breakout_pos AND EEM US Equity_px.range_pos_63 is_high,"SIG_00790, SIG_04279",2022-12-01,2025-09-08,0,9,1,112505.0841,212505.0841,112.5051,56809.0801,run_seed78_20250908_235457
SIG_01428|SIG_02894,LLY US Equity,long,LLY US Equity_flow.pcr_ema5_z30 is_high AND XLK US Equity_opt.fly_1m_40v25 is_high,"SIG_01428, SIG_02894",2023-07-26,2025-09-01,7,10,1,110431.1028,210431.1028,110.4311,10175.6272,run_seed78_20250908_235457
SIG_04346|SIG_04681,TSLA US Equity,long,XAU Curncy_px.mom_21 is_high AND EEM US Equity_opt.term_30d_3m is_low,"SIG_04346, SIG_04681",2023-01-09,2025-09-08,0,12,1,110080.532,210080.532,110.0805,22629.5505,run_seed78_20250908_235457
SIG_01428,TSLA US Equity,long,LLY US Equity_flow.pcr_ema5_z30 is_high,SIG_01428,2024-07-02,2025-09-08,0,15,1,102613.1087,202613.1087,102.6131,9249.2997,run_seed78_20250908_235457
SIG_04319|SIG_04346,TSLA US Equity,long,EEM US Equity_risk.drawdown_63 is_high AND EEM US Equity_opt.term_30d_3m is_low,"SIG_04319, SIG_04346",2022-12-02,2025-09-08,0,17,1,102306.4471,202306.4471,102.3064,29314.4139,run_seed78_20250908_235457
SIG_03493|SIG_05093,LLY US Equity,long,AMD US Equity_gate.liquid_flag is_high AND RTY Index_x.spread_vs_sector_21 is_high,"SIG_03493, SIG_05093",2022-02-21,2025-09-08,0,14,1,100868.9131,200868.9131,100.8689,11105.981,run_seed78_20250908_235457
SIG_05096,CRM US Equity,long,MSTR US Equity_gate.liquid_flag is_high,SIG_05096,2024-07-12,2025-09-08,0,19,1,93264.6569,193264.6569,93.2647,8035.4129,run_seed78_20250908_235457
SIG_04545,CRM US Equity,long,HG1 Comdty_px.mom_5 is_high,SIG_04545,2024-01-25,2025-09-04,4,20,1,92204.5522,192204.5522,92.2046,1014.7039,run_seed78_20250908_235457
